type,val,re,hits,time,,type,val,re,hits,time
icpc,1,38.8919315869,0,0.228184,,icpc,1,25.9077621274,2.6,0.2293824
icpc,1,9.8862112155,9,0.230515,,icpc,1.5,32.9688729086,4,0.2293259
icpc,1,20.6093585321,0,0.230038,,icpc,2,14.8003615044,8,0.2291271
icpc,1,40.0676009469,0,0.229404,,,,,,
icpc,1,20.6948803542,0,0.228073,,type,val,re,hits,time
icpc,1,5.4721022139,8,0.230223,,ml,6,13.9528480505,6.4,0.2121037
icpc,1,33.533117635,0,0.229347,,ml,7,32.8123029499,4,0.2210561
icpc,1,43.6507205506,0,0.229496,,ml,8,17.3120038882,8,0.2287166
icpc,1,9.0764906219,9,0.229184,,,,,,
icpc,1,37.1952076167,0,0.22936,,type,val,re,hits,time
icpc,1.5,55.1829959208,0,0.230976,,sc,5,28.3841088215,3.5,0.0696801
icpc,1.5,19.424197724,0,0.228379,,sc,10,19.4837856033,8,0.3017302
icpc,1.5,3.0881645294,10,0.229508,,sc,20,23.9138306059,13.3333333333,0.9574702222
icpc,1.5,2.0840862813,10,0.22922,,,,,,
icpc,1.5,4.248304349,10,0.22812,,,,,,
icpc,1.5,48.4662407394,0,0.228871,,,,,,
icpc,1.5,57.8258401457,0,0.22855,,,,,,
icpc,1.5,3.9673980961,10,0.229292,,,,,,
icpc,1.5,67.3800854812,0,0.23089,,,,,,
icpc,1.5,68.0214158187,0,0.229453,,,,,,
icpc,2,0.4066458713,10,0.228478,,,,,,
icpc,2,0.8622396118,10,0.229693,,,,,,
icpc,2,0.7356255577,10,0.228827,,,,,,
icpc,2,0.5946309757,10,0.22898,,,,,,
icpc,2,0.2308254256,10,0.228293,,,,,,
icpc,2,0.3802570762,10,0.229803,,,,,,
icpc,2,0.6940290722,10,0.229563,,,,,,
icpc,2,72.2636413779,0,0.228349,,,,,,
icpc,2,70.8413876064,0,0.230443,,,,,,
icpc,2,0.9943324691,10,0.228842,,,,,,
ml,6,20.6803733894,0,0.21244,,,,,,
ml,6,69.5769380188,0,0.212168,,,,,,
ml,6,43.7280315573,0,0.211495,,,,,,
ml,6,0.7667863885,9,0.212204,,,,,,
ml,6,0.8609447705,10,0.211062,,,,,,
ml,6,0.5796460334,9,0.211982,,,,,,
ml,6,0.747291267,10,0.212412,,,,,,
ml,6,0.6839101702,10,0.212428,,,,,,
ml,6,1.484620448,6,0.211533,,,,,,
ml,6,0.419938462,10,0.213313,,,,,,
ml,7,43.0226107455,0,0.221894,,,,,,
ml,7,0.8639065978,10,0.221338,,,,,,
ml,7,95.6630019998,0,0.221644,,,,,,
ml,7,44.065637401,0,0.220783,,,,,,
ml,7,34.7902152707,0,0.22005,,,,,,
ml,7,0.6004721419,10,0.220669,,,,,,
ml,7,48.7673280903,0,0.220775,,,,,,
ml,7,0.6532438029,10,0.221121,,,,,,
ml,7,0.4516652758,10,0.221486,,,,,,
ml,7,59.2449481732,0,0.220801,,,,,,
ml,8,0.9752939151,10,0.228444,,,,,,
ml,8,1.037529685,10,0.228711,,,,,,
ml,8,0.6518591408,10,0.228134,,,,,,
ml,8,0.6797524814,10,0.228774,,,,,,
ml,8,84.1465353013,0,0.229702,,,,,,
ml,8,1.0727159582,10,0.229292,,,,,,
ml,8,0.83642946,10,0.228519,,,,,,
ml,8,0.8012967971,10,0.228448,,,,,,
ml,8,82.1868001834,0,0.228927,,,,,,
ml,8,0.7318259601,10,0.228215,,,,,,
sc,5,0.75775236,5,0.05197,,,,,,
sc,5,0.919107132,5,0.051949,,,,,,
sc,5,79.6623604376,0,0.051837,,,,,,
sc,5,66.2270196903,0,0.052052,,,,,,
sc,5,0.7542039806,5,0.051696,,,,,,
sc,5,0.7343457266,5,0.052105,,,,,,
sc,5,54.8844570965,0,0.052044,,,,,,
sc,5,0.6228708679,5,0.052082,,,,,,
sc,5,78.1489825956,0,0.051879,,,,,,
sc,5,0.9465177902,5,0.052052,,,,,,
sc,10,0.9412228975,10,0.229105,,,,,,
sc,10,0.752801023,10,0.228176,,,,,,
sc,10,85.3379310188,0,0.22879,,,,,,
sc,10,0.9288137562,10,0.229275,,,,,,
sc,10,1.0182723678,10,0.228712,,,,,,
sc,10,56.0036463824,0,0.228491,,,,,,
sc,10,0.6687715868,10,0.228777,,,,,,
sc,10,0.88479705,10,0.22895,,,,,,
sc,10,0.9070978194,10,0.228356,,,,,,
sc,10,47.5222468026,0,0.229487,,,,,,
sc,20,0.8134782256,20,0.958288,,,,,,
sc,20,45.0129887519,0,0.959025,,,,,,
sc,20,0.6973898788,20,0.95751,,,,,,
sc,20,1.0098757087,20,0.959045,,,,,,
sc,20,88.8355424288,0,0.956206,,,,,,
sc,20,1.0272275733,20,0.962262,,,,,,
sc,20,0.9147846904,20,0.954735,,,,,,
sc,20,0.6522320245,20,0.954644,,,,,,
sc,20,76.4490312113,0,0.955672,,,,,,
sc,20,0.6254031854,20,0.958133,,,,,,
